username,tag,time,tweet,comment,like,retweet
Elon Musk,@elonmusk,2021-04-05T10:28:42.000Z,"Godzilla vs Kong is so amaze much wow!
Most insane movie I’ve ever seen!
Love letter to conspiracy theorists!
And yet heartwarming in the end.Godzilla vs Kong is so amaze much wow!
Most insane movie I’ve ever seen!
Love letter to conspiracy theorists!
And yet heartwarming in the end.",7.4K,216.1K,15.8K
Elon Musk,@elonmusk,2021-04-04T10:53:26.000Z,Urgent need to build more housing in greater Austin area!Urgent need to build more housing in greater Austin area!,4.2K,64.4K,3K
Elon Musk,@elonmusk,2021-04-04T06:25:28.000Z,Austin++Austin++,7.2K,140.5K,7K
Elon Musk,@elonmusk,2021-04-04T01:03:00.000Z,No it doesn’t hurt at all No it doesn’t hurt at all ,7.1K,439.6K,42.3K
Elon Musk,@elonmusk,2021-04-03T04:31:41.000Z,"Me in my sick new car
(left him the money)Me in my sick new car
(left him the money)",57.6K,253.1K,13.2K
Elon Musk,@elonmusk,2021-04-01T10:25:23.000Z,SpaceX is going to put a literal Dogecoin on the literal moonSpaceX is going to put a literal Dogecoin on the literal moon,25.6K,543K,60.8K
Elon Musk,@elonmusk,2021-04-01T10:23:49.000Z,Nicheman — his superpower is appealing to small audiencesNicheman — his superpower is appealing to small audiences,2.7K,86.5K,4.4K
Elon Musk,@elonmusk,2021-03-31T19:23:17.000Z,"Over 10,000 people are needed for Giga Texas just through 2022!
- 5 mins from airport
-15 mins from downtown
- Right on Colorado riverOver 10,000 people are needed for Giga Texas just through 2022!
- 5 mins from airport
-15 mins from downtown
- Right on Colorado river",7.9K,103.2K,13.3K
Elon Musk,@elonmusk,2021-03-30T14:27:29.000Z,Am donating $20M to Cameron County schools & $10M to City of Brownsville for downtown revitalization. Details to follow next week.Am donating $20M to Cameron County schools & $10M to City of Brownsville for downtown revitalization. Details to follow next week.,12.2K,350.2K,28.7K
Elon Musk,@elonmusk,2021-03-30T14:17:29.000Z,"Please consider moving to Starbase or greater Brownsville/South Padre area in Texas & encourage friends to do so! 

SpaceX’s hiring needs for engineers, technicians, builders & essential support personnel of all kinds are growing rapidly.Please consider moving to Starbase or greater Brownsville/South Padre area in Texas & encourage friends to do so! 

SpaceX’s hiring needs for engineers, technicians, builders & essential support personnel of all kinds are growing rapidly.",15K,176.1K,21.7K
Elon Musk,@elonmusk,2021-03-29T15:33:52.000Z,FAA inspector unable to reach Starbase in time for launch today. Postponed to no earlier than tomorrow.FAA inspector unable to reach Starbase in time for launch today. Postponed to no earlier than tomorrow.,3.3K,74.2K,3.8K
Elon Musk,@elonmusk,2021-03-28T18:12:55.000Z,Possible Starship flight tomorrow afternoonPossible Starship flight tomorrow afternoon,10.9K,336.3K,19.5K
Elon Musk,@elonmusk,2021-03-28T11:10:25.000Z,Wholesome memesWholesome memes,5.5K,464.6K,37.7K
Elon Musk,@elonmusk,2021-03-27T03:34:31.000Z,Check out our new craneCheck out our new crane,17.9K,584.3K,55.4K
Tesla,@Tesla,2021-03-25T16:12:35.000Z,"6,000+ Superchargers across Europe — at 600 locations and counting!

 by 
@EPavlic
, 
@MinimalDuck
 & 
@_better_e6,000+ Superchargers across Europe — at 600 locations and counting!

 by 
@EPavlic
, 
@MinimalDuck
 & 
@_better_e",3.1K,56.7K,5.1K
Elon Musk,@elonmusk,2021-03-25T10:35:03.000Z,"If there’s ever a scandal about me, *please* call it ElongateIf there’s ever a scandal about me, *please* call it Elongate",21.2K,765.7K,64.4K
Elon Musk,@elonmusk,2021-03-25T10:25:26.000Z,Don’t defy DeFiDon’t defy DeFi,11.1K,175.2K,19.6K
Elon Musk,@elonmusk,2021-03-25T07:48:53.000Z,Mars rover looking backMars rover looking back,7.1K,273.9K,18.1K
SpaceX,@SpaceX,2021-03-24T09:34:19.000Z,Deployment of 60 Starlink satellites confirmedDeployment of 60 Starlink satellites confirmed,1.9K,62.4K,6K
Elon Musk,@elonmusk,2021-03-24T07:10:43.000Z,Pay by Bitcoin capability available outside US later this yearPay by Bitcoin capability available outside US later this year,3.1K,140.9K,9.7K
Elon Musk,@elonmusk,2021-03-24T07:09:34.000Z,"Tesla is using only internal & open source software & operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.Tesla is using only internal & open source software & operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",4.6K,178.4K,23.7K
